description,upc,manufacturerSku,Price_amount,MSRP_amount,rideengine_variants_price,price_difference,update_price
Ride Engine Elite Carbon Harness V8 Black Magic XS,840362174168,3231510000,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Black Magic M,840362174182,3231510003,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Black Magic L,840362174199,3231510005,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Black Magic XL,840362174205,3231510007,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Race Red XS,840362174267,3231510020,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Race Red S,840362174274,3231510021,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Race Red M,840362174281,3231510023,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Race Red L,840362174298,3231510025,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Race Red XL,840362174304,3231510027,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Grey Storm XS,840362174212,3231510010,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Grey Storm S,840362174229,3231510011,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Grey Storm M,840362174236,3231510013,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Grey Storm L,840362174243,3231510015,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Grey Storm XL,840362174250,3231510017,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Sunset XS,840362174311,3231510030,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Sunset S,840362174328,3231510031,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Sunset M,840362174335,3231510033,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Sunset L,840362174342,3231510035,475,475,380.00,-95,TRUE
Ride Engine Elite Carbon Harness V8 Sunset XL,840362174359,3231510037,475,475,380.00,-95,TRUE
Ride Engine Lyte Direct Connection Harness V2 Black Magic XS,840362174793,3231513000,400,400,299.00,-101,TRUE
Ride Engine Lyte Direct Connection Harness V2 Black Magic S,840362174809,3231513001,400,400,299.00,-101,TRUE
