description,upc,manufacturerSku,Price_amount,MSRP_amount,slingshot_variants_price,price_difference,update_price
Slingshot Wing Craft V2 50L,840362169263,1230450050,1271.99,1767,999.00,-272.99,TRUE
Slingshot Wing Craft V2 70L,840362169287,1230450070,1303.99,1811,999.00,-304.99,TRUE
Slingshot Wing Craft V2 80L,840362169294,1230450080,1319.99,1833,999.00,-320.99,TRUE
Slingshot Wing Craft V2 105L,840362169317,1230450105,1343.99,1867,999.00,-344.99,TRUE
Slingshot Wing Raider V1 70L,840362163650,122732070,1810,1810,699.00,-1111,TRUE
Slingshot Wing Raider V1 80L,840362163667,122732080,1832,1832,699.00,-1133,TRUE
Slingshot Wing Raider V1 90L,840362163674,122732090,1854,1854,699.00,-1155,TRUE
Slingshot E Series Lower Package V1 Plane 1090/710,840362172614,1230480002,1199.99,1333,999.00,-200.99,TRUE
Slingshot PTM Lower Plane Package V1 684/710,840362155792,122800006,969.99,969.99,869.00,-100.99000000000001,TRUE
Slingshot PFI Lower Plane Package V1 633/710,840362155853,122800000,1065.99,1065.99,950.00,-115.99000000000001,TRUE
HG Forged Shift Fuselage 61cm,840362132816,19711015,79,79,39.00,-40,TRUE
Slingshot Code V1 Kite Blue 7m,840362170306,1230111007,1019.99,1359.99,459.00,-560.99,TRUE
Slingshot Code V1 Kite Blue 8m,840362170313,1230111008,1469.99,1469.99,459.00,-1010.99,TRUE
Slingshot Code V1 Kite Green 7m,840362170405,1230111107,1019.99,1359.99,459.00,-560.99,TRUE
Slingshot Code V1 Kite Orange 7m,840362170504,1230111207,1019.99,1359.99,459.00,-560.99,TRUE
Slingshot Machine V2 Kite Blue 5m,840362170597,1230112005,599,1269.99,399.00,-200,TRUE
Slingshot Machine V2 Kite Blue 6m,840362170603,1230112006,599,1379.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Blue 7m,840362170610,1230112007,599,1479.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Blue 8m,840362170627,1230112008,599,1569.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Green 5m,840362170689,1230112105,599,1269.99,399.00,-200,TRUE
Slingshot Machine V2 Kite Green 6m,840362170696,1230112106,599,1379.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Green 7m,840362170702,1230112107,599,1479.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Green 8m,840362170719,1230112108,599,1569.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Orange 5m,840362170771,1230112205,599,1269.99,399.00,-200,TRUE
Slingshot Machine V2 Kite Orange 6m,840362170788,1230112206,599,1379.99,459.00,-140,TRUE
Slingshot Machine V2 Kite Orange 7m,840362170795,1230112207,599,1479.99,459.00,-140,TRUE
Slingshot Ghost V2 Blue 2.5m,840362163056,122160002,699,699,399.00,-300,TRUE
Slingshot Ghost V2 Orange 2.5m,840362163216,122162002,699,699,399.00,-300,TRUE
Slingshot SST V6 Orange 4m,840362156614,122142004,499,1333.32,399.00,-100,TRUE
Slingshot SST V6 Orange 5m,840362156607,122142005,499,1391.1,399.00,-100,TRUE
Slingshot Phantasm Mast Cover,840362155280,122828002,109.99,109.99,87.99,-22,TRUE
Gaurdian Chicken Loop Med,840362132854,19383005,17.99,17.99,14.39,-3.599999999999998,TRUE
Gaurdian Chicken Loop SM,840362132861,19383006,18.99,18.99,15.19,-3.799999999999999,TRUE
Slingshot Phantasm G Series Front Wing 700 (900cm),,1230490003,524.43,655.54,524.00,-0.42999999999995,TRUE
Slingshot Torx Wrench T-30,840362179439,1230493002,22,22,15.99,-6.01,TRUE
Slingshot Phantasm PS 325 Stabilizer,,122810001,276,276,222.00,-54,TRUE
Slingshot Launch Pad V1 35,840362179927,1230454035,999,1399.99,499.00,-500,TRUE
Slingshot Launch Pad V1 45,840362179934,1230454045,999,1499.99,499.00,-500,TRUE
"Slingshot Sentry V1, V1.1, V2 Clam Cleat only w/ 2 screws",840362184839,1230168000,29.99,29.99,19.00,-10.989999999999998,TRUE
